año;mes;sigla;provincia;pacientes_total;tasa_pacientes_total;pacientes_residencias;tasa_pacientes_residencias
2022;Enero;BU;Burgos;426;1.223234565;143;1.812880325
2022;Enero;SE;Segovia;172;1.173068529;58;1.785714286
2022;Enero;SO;Soria;114;1.308194577;37;1.328068916
2022;Febrero;BU;Burgos;329;0.944685641;102;1.293103448
2022;Marzo;PA;Palencia;180;1.187178472;67;1.283033321
2022;Marzo;VA;Valladolid;494;0.948051026;132;1.495581237
2022;Abril;LE;León;475;1.105746623;124;1.359649123
2022;Abril;VA;Valladolid;407;0.780393149;121;1.370949467
2022;Mayo;AV;Ávila;165;1.101240731;67;1.5625
2022;Mayo;LE;León;575;1.338270582;161;1.765350877
2022;Mayo;SA;Salamanca;374;1.173830485;110;1.333010179
2022;Mayo;SE;Segovia;142;0.965631673;46;1.416256158
2022;Mayo;SO;Soria;98;1.12139694;42;1.507537688
2022;Mayo;ZA;Zamora;225;1.441374495;59;1.168085528
2022;Enero;AV;Ávila;187;1.248547812;58;1.35261194
2022;Enero;SA;Salamanca;477;1.498440303;136;1.648085313
2022;Enero;VA;Valladolid;523;1.004637082;146;1.65420349
2022;Febrero;AV;Ávila;147;0.981511528;54;1.259328358
2022;Febrero;SA;Salamanca;348;1.093421561;116;1.405719825
2022;Febrero;VA;Valladolid;438;0.841165648;122;1.382279628
2022;Marzo;ZA;Zamora;241;1.544357009;50;0.98990299
2022;Abril;BU;Burgos;303;0.869769898;98;1.242393509
2022;Abril;SO;Soria;88;1.008595989;28;1.005025126
2022;Abril;ZA;Zamora;194;1.243661493;44;0.871114631
2022;Mayo;BU;Burgos;347;0.995022022;125;1.584685598
2022;Mayo;PA;Palencia;181;1.193758162;67;1.283033321
2022;Enero;LE;León;644;1.49929226;166;1.820175439
2022;Enero;PA;Palencia;210;1.383253412;67;1.283033321
2022;Enero;ZA;Zamora;278;1.777868732;79;1.564046723
2022;Febrero;LE;León;510;1.187095573;151;1.655701754
2022;Febrero;PA;Palencia;165;1.087543996;50;0.957487553
2022;Febrero;SE;Segovia;149;1.015754419;66;2.032019704
2022;Febrero;SO;Soria;114;1.308209589;32;1.148600144
2022;Febrero;ZA;Zamora;220;1.408270388;67;1.326470006
2022;Marzo;AV;Ávila;197;1.314797141;65;1.515858209
2022;Marzo;BU;Burgos;377;1.082919459;116;1.470588235
2022;Marzo;LE;León;583;1.357183762;146;1.600877193
2022;Marzo;SA;Salamanca;405;1.272732415;121;1.466311197
2022;Marzo;SE;Segovia;143;0.97461237;42;1.293103448
2022;Marzo;SO;Soria;124;1.423258804;32;1.148600144
2022;Abril;AV;Ávila;169;1.128894352;67;1.5625
2022;Abril;PA;Palencia;165;1.08820387;55;1.053236308
2022;Abril;SA;Salamanca;310;0.973627264;102;1.236063984
2022;Abril;SE;Segovia;147;1.000816993;61;1.878078818
2022;Mayo;VA;Valladolid;451;0.864405285;139;1.574892363
2021;Enero;LE;León;666;1.544885177;174;1.907894737
2021;Enero;ZA;Zamora;268;1.707299982;60;1.187883587
2021;Febrero;BU;Burgos;338;0.97114716;79;1.001521298
2021;Febrero;SE;Segovia;183;1.255393734;57;1.754926108
2021;Marzo;PA;Palencia;195;1.281705786;63;1.206434316
2021;Marzo;SO;Soria;139;1.593324087;21;0.753768844
2021;Mayo;BU;Burgos;318;0.915005222;100;1.267748479
2021;Mayo;SA;Salamanca;304;0.95251822;71;0.860397479
2021;Mayo;SE;Segovia;132;0.90505804;42;1.293103448
2021;Junio;AV;Ávila;72;0.482463782;23;0.536380597
2021;Junio;LE;León;224;0.52092781;34;0.372807018
2021;Junio;PA;Palencia;130;0.854925687;49;0.938337802
2021;Junio;ZA;Zamora;99;0.633624331;18;0.356365076
2021;Julio;LE;León;631;1.464132241;143;1.567982456
2021;Agosto;AV;Ávila;172;1.152042867;65;1.515858209
2021;Agosto;BU;Burgos;350;1.005175216;134;1.698782961
2021;Agosto;PA;Palencia;200;1.315547136;91;1.742627346
2021;Agosto;ZA;Zamora;217;1.387228548;67;1.326470006
2021;Septiembre;AV;Ávila;157;1.051193808;59;1.375932836
2021;Septiembre;LE;León;454;1.055011654;96;1.052631579
2021;Septiembre;VA;Valladolid;430;0.828261037;113;1.28030818
2021;Octubre;BU;Burgos;335;0.961756541;97;1.229716024
2021;Octubre;SA;Salamanca;287;0.902138414;85;1.03005332
2021;Octubre;SE;Segovia;135;0.927299703;50;1.539408867
2021;Octubre;SO;Soria;102;1.170664524;36;1.292175162
2021;Octubre;VA;Valladolid;439;0.844973371;116;1.314298663
2021;Octubre;ZA;Zamora;189;1.209592259;46;0.91071075
2021;Noviembre;AV;Ávila;159;1.062422323;49;1.142723881
2021;Noviembre;LE;León;513;1.193972881;126;1.381578947
2021;Noviembre;SE;Segovia;146;0.997240513;58;1.785714286
2021;Diciembre;LE;León;530;1.233889592;106;1.162280702
2021;Diciembre;PA;Palencia;180;1.185645782;54;1.034086557
2021;Enero;PA;Palencia;260;1.705521955;99;1.895825354
2021;Enero;SE;Segovia;196;1.345054523;46;1.416256158
2021;Enero;SO;Soria;121;1.3860252;34;1.220387653
2021;Enero;VA;Valladolid;554;1.067283148;131;1.484251076
2021;Febrero;AV;Ávila;214;1.438143048;62;1.445895522
2021;Febrero;LE;León;689;1.598964038;144;1.578947368
2021;Febrero;PA;Palencia;261;1.713655404;70;1.340482574
2021;Febrero;SA;Salamanca;409;1.279568513;114;1.381483277
2021;Febrero;SO;Soria;151;1.72905383;42;1.507537688
2021;Febrero;ZA;Zamora;248;1.581350269;47;0.93050881
2021;Marzo;VA;Valladolid;528;1.016874728;100;1.133016089
2021;Marzo;ZA;Zamora;232;1.48274077;47;0.93050881
2021;Abril;LE;León;464;1.078578136;97;1.063596491
2021;Abril;PA;Palencia;175;1.150445387;55;1.053236308
2021;Abril;SA;Salamanca;319;0.999345257;86;1.042171595
2021;Mayo;AV;Ávila;151;1.012627668;53;1.236007463
2021;Mayo;ZA;Zamora;184;1.177682909;35;0.692932093
2021;Junio;SA;Salamanca;156;0.489121744;35;0.424139603
2021;Junio;VA;Valladolid;218;0.41978537;40;0.453206436
2021;Julio;AV;Ávila;234;1.56388887;74;1.725746269
2021;Julio;BU;Burgos;439;1.259919354;152;1.926977688
2021;Julio;PA;Palencia;202;1.327061544;73;1.397931827
2021;Julio;SA;Salamanca;415;1.299014314;129;1.563257392
2021;Agosto;LE;León;532;1.236372594;115;1.260964912
2021;Agosto;SA;Salamanca;329;1.035105493;105;1.272418808
2021;Agosto;SE;Segovia;163;1.114552777;46;1.416256158
2021;Agosto;VA;Valladolid;418;0.805092499;120;1.359619307
2021;Septiembre;BU;Burgos;324;0.93013108;115;1.457910751
2021;Septiembre;PA;Palencia;164;1.07898996;59;1.129835312
2021;Septiembre;SO;Soria;77;0.883361823;23;0.825556353
2021;Octubre;AV;Ávila;151;1.011488093;50;1.166044776
2021;Noviembre;PA;Palencia;168;1.106114575;53;1.014936806
2021;Noviembre;VA;Valladolid;401;0.770921087;115;1.302968502
2021;Diciembre;SE;Segovia;135;0.920722392;55;1.693349754
2021;Diciembre;VA;Valladolid;455;0.874015052;122;1.382279628
2021;Diciembre;ZA;Zamora;206;1.317413521;54;1.069095229
2021;Enero;AV;Ávila;203;1.364201472;57;1.329291045
2021;Enero;BU;Burgos;421;1.208710756;124;1.572008114
2021;Enero;SA;Salamanca;427;1.335159406;122;1.478429472
2021;Febrero;VA;Valladolid;507;0.97632931;111;1.257647859
2021;Marzo;AV;Ávila;172;1.154990297;48;1.119402985
